seat,board,heuristic,winprob,n
FIRST,0,0.4381,0.8083,120
FIRST,0,0.2867,0.4917,120
FIRST,0,0.3344,0.55,120
FIRST,0,0.2439,0.375,120
FIRST,0,0.4922,0.6917,120
FIRST,0,0.2089,0.325,120
FIRST,0,0.3567,0.525,120
FIRST,1,0.5283,0.8417,120
FIRST,1,0.4242,0.775,120
FIRST,0,0.1233,0.5,120
FIRST,0,0.0,0.1167,120
FIRST,0,0.1722,0.2833,120
FIRST,1,0.2758,0.6333,120
FIRST,1,0.3261,0.3833,120
FIRST,1,0.2461,0.4833,120
FIRST,1,0.2206,0.4083,120
FIRST,1,0.1483,0.3167,120
FIRST,1,0.115,0.2167,120
FIRST,1,0.1875,0.3083,120
FIRST,1,0.06,0.125,120
FIRST,2,0.4992,0.6917,120
FIRST,2,0.4311,0.825,120
FIRST,2,0.2967,0.5417,120
FIRST,2,0.3742,0.625,120
FIRST,2,0.28,0.475,120
FIRST,2,0.2,0.4833,120
FIRST,2,0.1422,0.4167,120
FIRST,2,0.2389,0.3083,120
FIRST,3,0.5436,0.8417,120
FIRST,2,0.125,0.1583,120
FIRST,2,0.06,0.175,120
FIRST,3,0.4089,0.8083,120
FIRST,3,0.255,0.75,120
FIRST,3,0.2911,0.7417,120
FIRST,3,0.3489,0.55,120
FIRST,3,0.2114,0.3667,120
FIRST,4,0.5672,0.9,120
FIRST,3,0.1875,0.2917,120
FIRST,3,0.14,0.4,120
FIRST,3,0.115,0.3667,120
FIRST,3,0.06,0.2583,120
FIRST,4,0.4172,0.6583,120
FIRST,4,0.2828,0.55,120
FIRST,4,0.3467,0.725,120
FIRST,4,0.2367,0.4583,120
FIRST,4,0.2231,0.425,120
FIRST,4,0.1883,0.2833,120
FIRST,4,0.1483,0.4,120
FIRST,4,0.17,0.2167,120
FIRST,5,0.5561,0.9667,120
FIRST,4,0.0761,0.4,120
FIRST,5,0.3756,0.575,120
FIRST,5,0.3119,0.425,120
FIRST,5,0.2911,0.675,120
FIRST,5,0.3008,0.6417,120
FIRST,5,0.2444,0.425,120
FIRST,5,0.2144,0.2667,120
FIRST,5,0.1925,0.6,120
FIRST,5,0.0761,0.225,120
FIRST,6,0.395,0.675,120
FIRST,5,0.1789,0.4333,120
FIRST,6,0.5228,0.7667,120
FIRST,6,0.3439,0.7583,120
FIRST,6,0.305,0.5333,120
FIRST,6,0.2206,0.4167,120
FIRST,6,0.2606,0.5667,120
FIRST,6,0.1717,0.65,120
FIRST,6,0.1861,0.3833,120
FIRST,6,0.1511,0.3167,120
FIRST,6,0.03,0.2,120
FIRST,7,0.515,0.7583,120
FIRST,7,0.3756,0.675,120
FIRST,7,0.4019,0.8,120
FIRST,7,0.3217,0.6917,120
FIRST,7,0.2656,0.4667,120
FIRST,7,0.2439,0.4417,120
FIRST,7,0.2083,0.325,120
FIRST,8,0.5172,0.875,120
FIRST,7,0.17,0.3917,120
FIRST,7,0.06,0.1167,120
FIRST,8,0.4339,0.7583,120
FIRST,7,0.1283,0.2667,120
FIRST,8,0.3772,0.7833,120
FIRST,8,0.3189,0.575,120
FIRST,8,0.2508,0.625,120
FIRST,8,0.2675,0.5083,120
FIRST,8,0.1875,0.35,120
FIRST,8,0.1556,0.175,120
FIRST,8,0.1233,0.2917,120
FIRST,8,0.03,0.1167,120
FIRST,9,0.5131,0.8333,120
FIRST,9,0.4422,0.6917,120
FIRST,9,0.395,0.5583,120
FIRST,9,0.3272,0.625,120
FIRST,9,0.2839,0.575,120
FIRST,9,0.2536,0.55,120
FIRST,9,0.2167,0.4,120
FIRST,9,0.1844,0.6667,120
FIRST,9,0.115,0.2917,120
FIRST,10,0.5589,0.95,120
FIRST,9,0.03,0.25,120
FIRST,10,0.3258,0.5833,120
FIRST,10,0.2933,0.6417,120
FIRST,10,0.2633,0.7,120
FIRST,10,0.3858,0.3083,120
FIRST,10,0.2333,0.45,120
FIRST,10,0.1783,0.3833,120
FIRST,10,0.2106,0.3917,120
FIRST,10,0.14,0.25,120
FIRST,10,0.09,0.2333,120
FIRST,11,0.4144,0.6583,120
FIRST,11,0.4867,0.7167,120
FIRST,11,0.2967,0.625,120
FIRST,11,0.3189,0.4333,120
FIRST,11,0.2544,0.4667,120
FIRST,11,0.2444,0.4333,120
FIRST,11,0.17,0.325,120
FIRST,11,0.2078,0.65,120
FIRST,11,0.1283,0.325,120
FIRST,11,0.06,0.1833,120
FIRST,12,0.5103,0.6833,120
FIRST,12,0.3825,0.6583,120
FIRST,12,0.3369,0.6583,120
FIRST,12,0.2981,0.6333,120
FIRST,12,0.2633,0.625,120
FIRST,12,0.2111,0.2167,120
FIRST,12,0.1858,0.3917,120
FIRST,12,0.1717,0.4167,120
FIRST,12,0.1483,0.3583,120
FIRST,12,0.06,0.1167,120
FIRST,13,0.5131,0.8417,120
FIRST,13,0.4089,0.6083,120
FIRST,13,0.3356,0.6167,120
FIRST,13,0.3258,0.6833,120
FIRST,13,0.2661,0.4,120
FIRST,13,0.2206,0.5417,120
FIRST,13,0.2,0.3917,120
FIRST,13,0.1583,0.3083,120
FIRST,13,0.12,0.2333,120
FIRST,14,0.5186,0.8667,120
FIRST,14,0.4589,0.8333,120
FIRST,13,0.06,0.225,120
FIRST,14,0.3342,0.725,120
FIRST,14,0.2961,0.4583,120
FIRST,14,0.2661,0.3667,120
FIRST,14,0.1811,0.3417,120
FIRST,14,0.24,0.3167,120
FIRST,14,0.1361,0.2833,120
FIRST,14,0.0956,0.3167,120
FIRST,14,0.115,0.2417,120
FIRST,15,0.4867,0.8417,120
FIRST,15,0.3272,0.6917,120
FIRST,15,0.3797,0.6083,120
FIRST,15,0.4039,0.3167,120
FIRST,15,0.2506,0.4,120
FIRST,15,0.2142,0.3667,120
FIRST,15,0.2806,0.2417,120
FIRST,15,0.17,0.3917,120
FIRST,15,0.0692,0.3417,120
FIRST,15,0.145,0.2833,120
FIRST,16,0.5019,0.7083,120
FIRST,16,0.3217,0.5417,120
FIRST,16,0.4061,0.6917,120
FIRST,16,0.3717,0.7,120
FIRST,16,0.2967,0.55,120
FIRST,16,0.2367,0.4583,120
FIRST,16,0.2167,0.2583,120
FIRST,16,0.175,0.2583,120
FIRST,16,0.115,0.1833,120
FIRST,16,0.06,0.1,120
FIRST,17,0.5006,0.75,120
FIRST,17,0.4019,0.6667,120
FIRST,17,0.3606,0.7917,120
FIRST,17,0.2981,0.6167,120
FIRST,17,0.2806,0.5417,120
FIRST,17,0.2356,0.4,120
FIRST,17,0.255,0.5167,120
FIRST,17,0.1867,0.4167,120
FIRST,17,0.1333,0.325,120
FIRST,17,0.09,0.2417,120
FIRST,18,0.4367,0.7917,120
FIRST,18,0.5353,0.775,120
FIRST,18,0.3592,0.7833,120
FIRST,18,0.2994,0.7417,120
FIRST,18,0.2161,0.5083,120
FIRST,18,0.2744,0.4167,120
FIRST,18,0.1067,0.2667,120
FIRST,19,0.5006,0.8333,120
FIRST,18,0.06,0.2667,120
FIRST,18,0.15,0.1917,120
FIRST,18,0.1883,0.375,120
FIRST,19,0.3922,0.5833,120
FIRST,19,0.32,0.6667,120
FIRST,19,0.2981,0.7333,120
FIRST,19,0.255,0.6167,120
FIRST,19,0.2458,0.4833,120
FIRST,19,0.2089,0.3083,120
FIRST,19,0.1811,0.4083,120
FIRST,19,0.12,0.3333,120
FIRST,19,0.0,0.2,120
FIRST,20,0.5547,0.8417,120
FIRST,20,0.4631,0.8083,120
FIRST,20,0.3672,0.5833,120
FIRST,20,0.2994,0.5667,120
FIRST,20,0.2661,0.5333,120
FIRST,20,0.2425,0.4417,120
FIRST,20,0.2167,0.475,120
FIRST,20,0.1122,0.2417,120
FIRST,20,0.1667,0.2917,120
FIRST,20,0.03,0.1833,120
FIRST,21,0.5006,0.7333,120
FIRST,21,0.3811,0.5583,120
FIRST,21,0.3436,0.6083,120
FIRST,21,0.2633,0.5833,120
FIRST,21,0.3161,0.5417,120
FIRST,21,0.2444,0.3167,120
FIRST,21,0.2036,0.3917,120
FIRST,21,0.165,0.275,120
FIRST,21,0.15,0.1833,120
FIRST,22,0.5103,0.8083,120
FIRST,21,0.03,0.1833,120
FIRST,22,0.4269,0.675,120
FIRST,22,0.3706,0.6167,120
FIRST,22,0.2389,0.4083,120
FIRST,22,0.3367,0.6167,120
FIRST,22,0.2633,0.3,120
FIRST,22,0.2,0.2167,120
FIRST,22,0.1783,0.3833,120
FIRST,22,0.14,0.225,120
FIRST,22,0.03,0.1333,120
FIRST,23,0.5797,0.8417,120
FIRST,23,0.4089,0.5917,120
FIRST,23,0.3647,0.725,120
FIRST,23,0.2744,0.6333,120
FIRST,23,0.3311,0.65,120
FIRST,23,0.2342,0.5333,120
FIRST,23,0.2133,0.4083,120
FIRST,23,0.1833,0.1833,120
FIRST,23,0.1367,0.3917,120
FIRST,23,0.0,0.1667,120
FIRST,24,0.57,0.8583,120
FIRST,24,0.4272,0.875,120
FIRST,24,0.3467,0.65,120
FIRST,24,0.28,0.4333,120
FIRST,24,0.2633,0.4583,120
FIRST,24,0.2144,0.4417,120
FIRST,24,0.2,0.4083,120
FIRST,24,0.1511,0.3583,120
FIRST,24,0.1275,0.3,120
FIRST,24,0.03,0.1417,120
FIRST,25,0.395,0.7083,120
FIRST,25,0.5061,0.525,120
FIRST,25,0.3539,0.6,120
FIRST,25,0.3078,0.6,120
FIRST,25,0.28,0.5,120
FIRST,25,0.2328,0.5333,120
FIRST,25,0.1867,0.4667,120
FIRST,25,0.1667,0.3167,120
FIRST,25,0.1283,0.3333,120
FIRST,26,0.4811,0.65,120
FIRST,25,0.06,0.0833,120
FIRST,26,0.3939,0.825,120
FIRST,26,0.3483,0.5333,120
FIRST,26,0.2772,0.6167,120
FIRST,26,0.3233,0.2583,120
FIRST,26,0.2356,0.45,120
FIRST,26,0.1833,0.3167,120
FIRST,26,0.1431,0.3083,120
FIRST,26,0.115,0.3,120
FIRST,26,0.03,0.1667,120
FIRST,27,0.5506,0.775,120
FIRST,27,0.3297,0.5833,120
FIRST,27,0.4372,0.4833,120
FIRST,27,0.2967,0.4583,120
FIRST,27,0.2206,0.3833,120
FIRST,27,0.2633,0.5,120
FIRST,27,0.1833,0.2917,120
FIRST,27,0.17,0.3333,120
FIRST,27,0.12,0.3,120
FIRST,27,0.0,0.1667,120
FIRST,28,0.4789,0.6583,120
FIRST,28,0.3992,0.6833,120
FIRST,28,0.3214,0.6083,120
FIRST,28,0.2911,0.5167,120
FIRST,28,0.2675,0.575,120
FIRST,28,0.2417,0.3333,120
FIRST,28,0.195,0.4167,120
FIRST,28,0.1122,0.2833,120
FIRST,28,0.1789,0.4083,120
FIRST,28,0.17,0.375,120
FIRST,29,0.4825,0.675,120
FIRST,29,0.4089,0.6583,120
FIRST,29,0.3839,0.7333,120
FIRST,29,0.3106,0.6083,120
FIRST,29,0.2722,0.4833,120
FIRST,29,0.2033,0.425,120
FIRST,29,0.1833,0.1583,120
FIRST,29,0.2483,0.1417,120
FIRST,29,0.1411,0.2083,120
FIRST_FINAL,0,0.3811,0.05,120
FIRST_FINAL,0,0.5117,0.0667,120
FIRST,29,0.065,0.125,120
FIRST_FINAL,0,0.3258,0.0,120
FIRST_FINAL,0,0.2522,0.0,120
FIRST_FINAL,0,0.2733,0.0,120
FIRST_FINAL,0,0.2111,0.0,120
FIRST_FINAL,0,0.1783,0.0,120
FIRST_FINAL,1,0.5089,1.0,120
FIRST_FINAL,0,0.0,0.0,120
FIRST_FINAL,0,0.1511,0.0,120
FIRST_FINAL,0,0.1278,0.0,120
FIRST_FINAL,1,0.3872,0.9917,120
FIRST_FINAL,1,0.3272,1.0,120
FIRST_FINAL,1,0.3117,0.95,120
FIRST_FINAL,1,0.2206,0.8833,120
FIRST_FINAL,1,0.2744,0.9333,120
FIRST_FINAL,1,0.2883,0.8833,120
FIRST_FINAL,2,0.5853,1.0,120
FIRST_FINAL,1,0.1283,0.7917,120
FIRST_FINAL,1,0.195,0.6333,120
FIRST_FINAL,2,0.3994,1.0,120
FIRST_FINAL,2,0.3533,1.0,120
FIRST_FINAL,1,0.1583,0.5333,120
FIRST_FINAL,2,0.3339,1.0,120
FIRST_FINAL,2,0.2928,1.0,120
FIRST_FINAL,2,0.2272,1.0,120
FIRST_FINAL,2,0.255,1.0,120
FIRST_FINAL,2,0.2133,1.0,120
FIRST_FINAL,2,0.1722,1.0,120
FIRST_FINAL,2,0.065,1.0,120
FIRST_FINAL,3,0.4672,0.05,120
FIRST_FINAL,3,0.3186,0.025,120
FIRST_FINAL,3,0.3811,0.075,120
FIRST_FINAL,3,0.28,0.0417,120
FIRST_FINAL,3,0.2133,0.0,120
FIRST_FINAL,3,0.1789,0.0,120
FIRST_FINAL,3,0.2633,0.275,120
FIRST_FINAL,3,0.1533,0.0,120
FIRST_FINAL,3,0.1292,0.0,120
FIRST_FINAL,3,0.03,0.0,120
FIRST_FINAL,4,0.4339,0.775,120
FIRST_FINAL,4,0.3783,0.5583,120
FIRST_FINAL,4,0.3133,0.7167,120
FIRST_FINAL,4,0.3567,0.3667,120
FIRST_FINAL,4,0.1722,0.1,120
FIRST_FINAL,4,0.255,0.6167,120
FIRST_FINAL,4,0.2944,0.4,120
FIRST_FINAL,4,0.1533,0.2667,120
FIRST_FINAL,4,0.0983,0.1083,120
FIRST_FINAL,4,0.0,0.075,120
FIRST_FINAL,5,0.47,0.575,120
FIRST_FINAL,5,0.305,0.725,120
FIRST_FINAL,5,0.3339,0.3,120
FIRST_FINAL,5,0.3839,0.2833,120
FIRST_FINAL,5,0.2683,0.2083,120
FIRST_FINAL,5,0.2342,0.3083,120
FIRST_FINAL,5,0.2022,0.25,120
FIRST_FINAL,5,0.1789,0.1083,120
FIRST_FINAL,6,0.5367,0.375,120
FIRST_FINAL,5,0.1283,0.125,120
FIRST_FINAL,5,0.0692,0.25,120
FIRST_FINAL,6,0.3867,0.2917,120
FIRST_FINAL,6,0.3183,0.175,120
FIRST_FINAL,6,0.3589,0.0583,120
FIRST_FINAL,6,0.2711,0.0417,120
FIRST_FINAL,6,0.1667,0.0083,120
FIRST_FINAL,6,0.2203,0.0417,120
FIRST_FINAL,6,0.1867,0.0333,120
FIRST_FINAL,6,0.06,0.0,120
FIRST_FINAL,6,0.1483,0.05,120
FIRST_FINAL,7,0.5589,0.7333,120
FIRST_FINAL,7,0.4228,0.25,120
FIRST_FINAL,7,0.3078,0.0583,120
FIRST_FINAL,7,0.3683,0.125,120
FIRST_FINAL,7,0.3467,0.0917,120
FIRST_FINAL,7,0.1833,0.025,120
FIRST_FINAL,7,0.2525,0.0583,120
FIRST_FINAL,7,0.1733,0.0167,120
FIRST_FINAL,8,0.5144,0.9833,120
FIRST_FINAL,7,0.17,0.0083,120
FIRST_FINAL,7,0.0692,0.0,120
FIRST_FINAL,8,0.3839,0.6917,120
FIRST_FINAL,8,0.3133,0.7,120
FIRST_FINAL,8,0.3436,0.625,120
FIRST_FINAL,8,0.1939,0.6667,120
FIRST_FINAL,8,0.2806,0.2667,120
FIRST_FINAL,8,0.2606,0.6417,120
FIRST_FINAL,8,0.1283,0.125,120
FIRST_FINAL,8,0.1439,0.4833,120
FIRST_FINAL,8,0.03,0.0,120
FIRST_FINAL,9,0.5256,0.6833,120
FIRST_FINAL,9,0.3456,0.0167,120
FIRST_FINAL,9,0.3939,0.5833,120
FIRST_FINAL,9,0.2883,0.1667,120
FIRST_FINAL,9,0.2675,0.25,120
FIRST_FINAL,9,0.2383,0.4333,120
FIRST_FINAL,9,0.2,0.0167,120
FIRST_FINAL,9,0.1511,0.0667,120
FIRST_FINAL,9,0.1275,0.0167,120
FIRST_FINAL,9,0.06,0.0083,120
FIRST_FINAL,10,0.5353,0.925,120
FIRST_FINAL,10,0.3631,0.8083,120
FIRST_FINAL,10,0.3506,0.9167,120
FIRST_FINAL,10,0.3075,0.925,120
FIRST_FINAL,10,0.2458,0.7583,120
FIRST_FINAL,10,0.2067,0.5917,120
FIRST_FINAL,10,0.2322,0.4583,120
FIRST_FINAL,11,0.4922,0.0417,120
FIRST_FINAL,11,0.4011,0.0,120
FIRST_FINAL,10,0.14,0.3417,120
FIRST_FINAL,10,0.1292,0.6583,120
FIRST_FINAL,11,0.3361,0.0,120
FIRST_FINAL,11,0.3217,0.0417,120
FIRST_FINAL,10,0.03,0.1083,120
FIRST_FINAL,11,0.2333,0.0,120
FIRST_FINAL,11,0.2633,0.0,120
FIRST_FINAL,11,0.1867,0.0,120
FIRST_FINAL,11,0.1556,0.0,120
FIRST_FINAL,11,0.1233,0.0,120
FIRST_FINAL,11,0.065,0.0,120
FIRST_FINAL,12,0.47,0.9667,120
FIRST_FINAL,12,0.2578,0.9667,120
FIRST_FINAL,12,0.23,0.9917,120
FIRST_FINAL,12,0.3547,0.8417,120
FIRST_FINAL,12,0.2933,0.775,120
FIRST_FINAL,12,0.1939,0.6,120
FIRST_FINAL,13,0.5672,1.0,120
FIRST_FINAL,12,0.1858,0.4583,120
FIRST_FINAL,12,0.1667,0.5833,120
FIRST_FINAL,13,0.4589,0.9667,120
FIRST_FINAL,12,0.145,0.25,120
FIRST_FINAL,12,0.1061,0.275,120
FIRST_FINAL,13,0.3767,1.0,120
FIRST_FINAL,13,0.3078,0.9833,120
FIRST_FINAL,13,0.2717,1.0,120
FIRST_FINAL,13,0.2067,1.0,120
FIRST_FINAL,14,0.4339,0.9917,120
FIRST_FINAL,14,0.5728,1.0,120
FIRST_FINAL,13,0.2356,0.9083,120
FIRST_FINAL,13,0.1567,0.9083,120
FIRST_FINAL,13,0.1292,0.925,120
FIRST_FINAL,14,0.3622,0.9667,120
FIRST_FINAL,13,0.0,0.25,120
FIRST_FINAL,14,0.1844,0.9667,120
FIRST_FINAL,14,0.2967,0.9167,120
FIRST_FINAL,14,0.2333,0.7083,120
FIRST_FINAL,14,0.2389,0.9,120
FIRST_FINAL,14,0.1533,0.8583,120
FIRST_FINAL,15,0.6131,1.0,120
FIRST_FINAL,14,0.14,0.7917,120
FIRST_FINAL,14,0.06,0.8167,120
FIRST_FINAL,15,0.3119,0.9583,120
FIRST_FINAL,15,0.3244,0.8,120
FIRST_FINAL,15,0.2508,0.6917,120
FIRST_FINAL,15,0.2022,0.4417,120
FIRST_FINAL,15,0.1833,0.525,120
FIRST_FINAL,15,0.1122,0.9167,120
FIRST_FINAL,15,0.165,0.4333,120
FIRST_FINAL,15,0.1275,0.5333,120
FIRST_FINAL,15,0.06,0.2833,120
FIRST_FINAL,16,0.4672,0.925,120
FIRST_FINAL,16,0.5117,0.575,120
FIRST_FINAL,16,0.4158,0.7333,120
FIRST_FINAL,16,0.3603,0.525,120
FIRST_FINAL,16,0.2856,0.5583,120
FIRST_FINAL,16,0.2467,0.2583,120
FIRST_FINAL,16,0.2083,0.2167,120
FIRST_FINAL,16,0.1367,0.25,120
FIRST_FINAL,16,0.2,0.1833,120
FIRST_FINAL,17,0.4561,0.2583,120
FIRST_FINAL,16,0.1061,0.05,120
FIRST_FINAL,17,0.4067,0.3167,120
FIRST_FINAL,17,0.3183,0.2083,120
FIRST_FINAL,17,0.2144,0.0083,120
FIRST_FINAL,17,0.2772,0.05,120
FIRST_FINAL,17,0.2567,0.05,120
FIRST_FINAL,17,0.1233,0.0167,120
FIRST_FINAL,17,0.1842,0.15,120
FIRST_FINAL,17,0.175,0.0083,120
FIRST_FINAL,17,0.06,0.0,120
FIRST_FINAL,18,0.5506,0.9667,120
FIRST_FINAL,18,0.4256,0.6833,120
FIRST_FINAL,18,0.3789,0.5667,120
FIRST_FINAL,18,0.3217,0.8,120
FIRST_FINAL,18,0.225,0.125,120
FIRST_FINAL,18,0.03,0.0083,120
FIRST_FINAL,18,0.1483,0.7833,120
FIRST_FINAL,18,0.12,0.2083,120
FIRST_FINAL,18,0.1942,0.2,120
FIRST_FINAL,19,0.5561,0.7417,120
FIRST_FINAL,18,0.2856,0.5083,120
FIRST_FINAL,19,0.4122,0.8833,120
FIRST_FINAL,19,0.3283,0.7833,120
FIRST_FINAL,19,0.3772,0.3917,120
FIRST_FINAL,19,0.2683,0.5083,120
FIRST_FINAL,19,0.28,0.6,120
FIRST_FINAL,19,0.2383,0.7667,120
FIRST_FINAL,19,0.1633,0.1833,120
FIRST_FINAL,19,0.1422,0.1333,120
FIRST_FINAL,19,0.06,0.0417,120
SECOND,0,0.3522,0.7917,120
SECOND,0,0.5772,0.8583,120
SECOND,0,0.3522,0.7917,120
SECOND,0,0.1483,0.0167,120
SECOND,0,0.6544,0.9417,120
SECOND,0,0.9806,1.0,120
SECOND,0,1.29,1.0,120
SECOND,0,0.76,0.9667,120
SECOND,0,0.6783,0.6,120
SECOND,0,0.9306,0.9,120
SECOND,1,0.3642,0.0833,120
SECOND,1,0.5056,0.2333,120
SECOND,1,0.525,0.2583,120
SECOND,1,0.7039,0.5,120
SECOND,1,0.8372,0.8333,120
SECOND,1,0.6011,0.35,120
SECOND,1,0.8472,0.8917,120
SECOND,1,0.9333,0.9,120
SECOND,1,0.9856,0.8833,120
SECOND,1,1.2206,1.0,120
SECOND,2,0.2411,0.0,120
SECOND,2,0.42,0.0,120
SECOND,2,0.42,0.0,120
SECOND,2,0.6683,0.05,120
SECOND,2,0.5625,0.175,120
SECOND,2,0.8503,0.175,120
SECOND,2,0.8503,0.275,120
SECOND,2,1.0903,0.7,120
SECOND,2,1.3025,0.8083,120
SECOND,2,0.9858,0.3417,120
SECOND,3,0.17,0.0083,120
SECOND,3,0.3989,0.3583,120
SECOND,3,0.8267,0.9333,120
SECOND,3,0.41,0.175,120
SECOND,3,0.6556,0.75,120
SECOND,3,0.9389,0.9667,120
SECOND,3,0.5439,0.1917,120
SECOND,3,0.6822,0.6417,120
SECOND,3,0.9944,0.9833,120
SECOND,3,1.1928,1.0,120
SECOND,4,0.1478,0.0,120
SECOND,4,0.3444,0.075,120
SECOND,4,0.3967,0.3417,120
SECOND,4,0.6144,0.425,120
SECOND,4,0.7411,0.8167,120
SECOND,4,0.6144,0.3833,120
SECOND,4,0.7794,0.7083,120
SECOND,4,0.9028,0.7,120
SECOND,4,1.1094,0.9167,120
SECOND,4,0.9089,0.875,120
SECOND,5,0.2453,0.0583,120
SECOND,5,0.4908,0.2083,120
SECOND,5,0.4875,0.25,120
SECOND,5,0.6031,0.6667,120
SECOND,5,0.69,0.3833,120
SECOND,5,0.6892,0.3417,120
SECOND,5,0.7833,0.5417,120
SECOND,5,0.9383,0.6667,120
SECOND,5,0.9194,0.3667,120
SECOND,6,0.2161,0.0,120
SECOND,5,1.1156,0.6583,120
SECOND,6,0.5922,0.6167,120
SECOND,6,0.4233,0.1333,120
SECOND,6,0.6753,0.8583,120
SECOND,6,0.4311,0.1333,120
SECOND,6,0.8208,0.9,120
SECOND,6,1.05,0.95,120
SECOND,6,1.05,0.9583,120
SECOND,6,0.7467,0.675,120
SECOND,6,1.2025,0.95,120
SECOND,7,0.2775,0.0667,120
SECOND,7,0.5186,0.6,120
SECOND,7,0.8056,0.9417,120
SECOND,7,0.8281,0.975,120
SECOND,7,0.6344,0.8083,120
SECOND,7,0.5186,0.6333,120
SECOND,7,0.8281,0.975,120
SECOND,7,1.0083,1.0,120
SECOND,7,1.0306,1.0,120
SECOND,7,1.3067,1.0,120
SECOND,8,0.2078,0.0,120
SECOND,8,0.4017,0.5417,120
SECOND,8,0.3522,0.15,120
SECOND,8,0.5717,0.5167,120
SECOND,8,0.6944,0.7833,120
SECOND,8,0.7322,0.825,120
SECOND,8,0.7461,0.8667,120
SECOND,8,0.9361,0.9167,120
SECOND,8,0.9861,0.8833,120
SECOND,9,0.175,0.0,120
SECOND,8,1.11,0.9,120
SECOND,9,0.3606,0.0417,120
SECOND,9,0.4275,0.3333,120
SECOND,9,0.5061,0.35,120
SECOND,9,0.5964,0.45,120
SECOND,9,0.7356,0.6917,120
SECOND,9,1.1733,0.9833,120
SECOND,9,0.9261,0.8917,120
SECOND,9,0.9714,0.9417,120
SECOND,9,0.7417,0.4667,120
SECOND,10,0.1492,0.0833,120
SECOND,10,0.3217,0.025,120
SECOND,10,0.5578,0.35,120
SECOND,10,0.5772,0.3917,120
SECOND,10,0.7153,0.55,120
SECOND,10,0.3739,0.2333,120
SECOND,10,0.7806,0.7083,120
SECOND,10,1.2303,0.9833,120
SECOND,10,1.0175,0.875,120
SECOND,10,0.9769,0.7,120
SECOND,11,0.18,0.0667,120
SECOND,11,0.4867,0.7167,120
SECOND,11,0.4867,0.6833,120
SECOND,11,0.5989,0.85,120
SECOND,11,0.7822,0.9583,120
SECOND,11,0.7822,0.9917,120
SECOND,11,0.735,0.925,120
SECOND,11,1.2094,1.0,120
SECOND,11,0.9389,1.0,120
SECOND,11,0.9806,0.9833,120
SECOND,12,0.3017,0.0083,120
SECOND,12,0.4228,0.125,120
SECOND,12,0.4256,0.25,120
SECOND,12,0.785,0.7417,120
SECOND,12,0.785,0.6583,120
SECOND,12,0.5375,0.0667,120
SECOND,12,0.6072,0.3583,120
SECOND,12,0.9167,0.6833,120
SECOND,12,1.1594,0.9,120
SECOND,12,0.9167,0.6333,120
SECOND,13,0.2867,0.025,120
SECOND,13,0.1733,0.0083,120
SECOND,13,0.3167,0.0167,120
SECOND,13,0.4933,0.3417,120
SECOND,13,0.7172,0.8583,120
SECOND,13,0.5617,0.275,120
SECOND,13,0.9539,0.9333,120
SECOND,13,1.3039,0.9917,120
SECOND,13,0.9422,0.825,120
SECOND,14,0.2222,0.0,120
SECOND,13,0.7189,0.2833,120
SECOND,14,0.3489,0.0417,120
SECOND,14,0.3489,0.1333,120
SECOND,14,0.5722,0.075,120
SECOND,14,0.5039,0.0917,120
SECOND,14,0.7828,0.5917,120
SECOND,14,0.7828,0.6667,120
SECOND,14,0.9561,0.725,120
SECOND,14,0.9617,0.575,120
SECOND,14,1.3331,0.9083,120
SECOND,15,0.205,0.0,120
SECOND,15,0.3956,0.0917,120
SECOND,15,0.3956,0.1333,120
SECOND,15,0.6211,0.35,120
SECOND,15,0.5431,0.175,120
SECOND,15,1.0153,0.8917,120
SECOND,15,0.8231,0.575,120
SECOND,15,1.075,0.9167,120
SECOND,15,0.8231,0.55,120
SECOND,15,1.29,0.9833,120
SECOND,16,0.2753,0.0167,120
SECOND,16,0.4358,0.1417,120
SECOND,16,0.4825,0.65,120
SECOND,16,0.6161,0.6083,120
SECOND,16,0.6636,0.8083,120
SECOND,16,0.7808,0.7917,120
SECOND,16,0.7808,0.7917,120
SECOND,16,0.925,0.925,120
SECOND,16,1.1997,0.9917,120
SECOND,16,0.9611,0.825,120
SECOND,17,0.225,0.0,120
SECOND,17,0.4178,0.0833,120
SECOND,17,0.4172,0.0083,120
SECOND,17,0.5867,0.5333,120
SECOND,17,0.665,0.4667,120
SECOND,17,0.6661,0.6917,120
SECOND,17,0.9128,0.9333,120
SECOND,17,0.9133,0.925,120
SECOND,17,1.1094,0.9583,120
SECOND,18,0.145,0.0,120
SECOND,17,0.6756,0.3917,120
SECOND,18,0.7306,0.8,120
SECOND,18,0.3933,0.2083,120
SECOND,18,0.3794,0.1583,120
SECOND,18,0.6628,0.5667,120
SECOND,18,0.9756,0.9,120
SECOND,18,0.5347,0.175,120
SECOND,18,1.0,0.9583,120
SECOND,18,1.2344,0.9583,120
SECOND,18,0.8042,0.4,120
SECOND,19,0.205,0.0083,120
SECOND,19,0.4372,0.2667,120
SECOND,19,0.44,0.2417,120
SECOND,19,0.63,0.525,120
SECOND,19,0.7572,0.8167,120
SECOND,19,0.8294,0.9583,120
SECOND,19,1.0333,0.95,120
SECOND,19,0.7661,0.7583,120
SECOND,19,1.0744,0.925,120
SECOND,19,1.2053,0.9667,120
